银行,上市时间,行业,主营业务,实际控制人,五年收入(亿),五年毛利(亿),面临问题,成就,危机
工商银行,2006-10-27,银行业,公司金融、个人金融、资金业务,财政部、汇金公司,"2021:8609,2022:8414,2023:8065,2024:8210,2025:8383","2021:3483,2022:3605,2023:3640,2024:3650,2025:3685",净息差收窄,全球第一大行,房地产风险敞口
建设银行,2007-09-25,银行业,公司银行业务、个人银行业务、资金业务,汇金公司,"2021:7647,2022:7581,2023:7167,2024:7320,2025:7510","2021:3025,2022:3239,2023:3327,2024:3350,2025:3389",息差收窄压力,新金融战略,地产风险
农业银行,2010-07-15,银行业,公司银行、零售银行、资金业务,财政部、汇金公司,"2021:7199,2022:7249,2023:6948,2024:7110,2025:7251","2021:2412,2022:2591,2023:2694,2024:2820,2025:2910",资产质量波动,三农主力军,农村资产质量
中国银行,2006-07-05,银行业,商业银行业务、投资银行、保险业务,汇金公司,"2021:6056,2022:6180,2023:6229,2024:6350,2025:6480","2021:2166,2022:2274,2023:2319,2024:2380,2025:2430",海外合规风险,跨境金融领跑,汇率波动风险
交通银行,2007-05-15,银行业,公司金融、零售金融、资金业务,财政部,"2021:2694,2022:2730,2023:2576,2024:2620,2025:2680","2021:876,2022:921,2023:927,2024:940,2025:955",营收增长乏力,综合化经营,竞争压力
邮储银行,2019-12-10,银行业,零售银行业务、公司银行业务、资金业务,中国邮政集团,"2021:3188,2022:3349,2023:3425,2024:3510,2025:3620","2021:761,2022:852,2023:863,2024:885,2025:910",资本补充压力,零售大行特色,存贷比提升风险
招商银行,2002-04-09,银行业,零售银行业务、公司银行业务、资金业务,招商局集团,"2021:3313,2022:3448,2023:3391,2024:3480,2025:3560","2021:1199,2022:1380,2023:1466,2024:1490,2025:1520",净息差收窄,零售之王,房地产风险
兴业银行,2007-02-05,银行业,企业金融、零售金融、同业业务,福建省财政厅,"2021:2212,2022:2224,2023:2108,2024:2150,2025:2200","2021:827,2022:914,2023:771,2024:785,2025:800",同业业务承压,绿色金融先行,息差下行
中信银行,2007-04-27,银行业,公司银行业务、零售银行业务、金融市场业务,中信集团,"2021:2046,2022:2114,2023:2059,2024:2100,2025:2150","2021:556,2022:621,2023:670,2024:685,2025:700",资产质量波动,协同优势明显,监管合规压力
浦发银行,1999-11-10,银行业,公司银行业务、零售银行业务、资金业务,上海国际集团,"2021:1909,2022:1886,2023:1734,2024:1780,2025:1820","2021:530,2022:512,2023:367,2024:452,2025:500",历史包袱清理,长三角龙头,资产质量挑战
民生银行,2000-12-19,银行业,公司银行业务、零售银行业务、资金业务,无实际控制人,"2021:1688,2022:1425,2023:1408,2024:1380,2025:1350","2021:344,2022:353,2023:358,2024:350,2025:340",利润增长乏力,民企服务特色,股权分散危机
光大银行,2010-08-18,银行业,公司银行业务、零售银行业务、金融市场业务,中国光大集团,"2021:1523,2022:1516,2023:1457,2024:1480,2025:1500","2021:434,2022:448,2023:408,2024:420,2025:435",息差管理压力,财富管理转型,宏观环境影响
平安银行,1991-04-03,银行业,零售银行业务、公司银行业务、资金业务,中国平安,"2021:1694,2022:1799,2023:1647,2024:1600,2025:1550","2021:363,2022:455,2023:465,2024:475,2025:485",零售信贷承压,科技金融领先,房地产敞口
华夏银行,2003-09-12,银行业,公司银行业务、个人银行业务、资金业务,首钢集团,"2021:959,2022:938,2023:930,2024:940,2025:950","2021:235,2022:250,2023:263,2024:276,2025:285",资产规模瓶颈,京津冀服务,资产质量隐忧
浙商银行,2019-11-26,银行业,公司银行业务、零售银行业务、资金业务,浙江省金融控股,"2021:545,2022:611,2023:637,2024:680,2025:720","2021:126,2022:136,2023:150,2024:165,2025:180",资本充足率压力,供应链金融,区域竞争激烈
北京银行,2007-09-19,银行业,公司银行业务、零售银行业务、资金业务,北京市国资委,"2021:663,2022:663,2023:667,2024:680,2025:700","2021:222,2022:247,2023:256,2024:265,2025:280",增速放缓,城商行规模首位,地产风险暴露
上海银行,2016-11-16,银行业,公司银行业务、零售银行业务、资金业务,上海联和投资,"2021:562,2022:531,2023:506,2024:515,2025:530","2021:220,2022:223,2023:225,2024:230,2025:240",息差下行压力,精品银行定位,消费信贷风险
江苏银行,2016-08-02,银行业,公司银行业务、零售银行业务、资金业务,江苏省财政厅,"2021:637,2022:705,2023:747,2024:808,2025:879","2021:197,2022:254,2023:287,2024:318,2025:345",异地扩张受限,城商行盈利之王,地区竞争
南京银行,2007-07-19,银行业,公司银行业务、零售银行业务、资金业务,南京市国有资产经营,"2021:409,2022:446,2023:452,2024:480,2025:510","2021:159,2022:184,2023:185,2024:200,2025:220",核心资本压力,债券交易优势,高管变动风险
宁波银行,2007-07-19,银行业,公司银行业务、零售银行业务、资金业务,宁波市财政局,"2021:528,2022:579,2023:616,2024:666,2025:720","2021:171,2022:231,2023:255,2024:272,2025:293",估值溢价回落,资产质量优异,宏观波动影响
杭州银行,2016-10-27,银行业,公司银行业务、零售银行业务、资金业务,杭州市财政局,"2021:294,2022:329,2023:350,2024:370,2025:388","2021:93,2022:117,2023:144,2024:165,2025:190",贷款增速放缓,高增长标杆,区域集中度高
贵阳银行,2016-08-16,银行业,公司银行业务、零售银行业务、资金业务,贵阳市国资委,"2021:150,2022:156,2023:151,2024:155,2025:160","2021:60,2022:58,2023:55,2024:53,2025:50",资产质量压力,区域服务主力,地方债务风险
成都银行,2018-01-31,银行业,公司银行业务、零售银行业务、资金业务,成都市国资委,"2021:179,2022:202,2023:217,2024:235,2025:250","2021:78,2022:100,2023:117,2024:130,2025:145",异地扩张瓶颈,成渝经济圈红利,地产集中风险
长沙银行,2018-09-26,银行业,公司银行业务、零售银行业务、资金业务,长沙市财政局,"2021:209,2022:229,2023:248,2024:260,2025:275","2021:63,2022:68,2023:75,2024:82,2025:90",非息收入占比低,湖南第一大行,信贷成本上升
郑州银行,2018-09-19,银行业,公司银行业务、零售银行业务、资金业务,郑州市财政局,"2021:137,2022:142,2023:136,2024:130,2025:125","2021:32,2022:24,2023:18,2024:15,2025:12",盈利持续下滑,商贸物流特色,资产质量危机
苏州银行,2019-08-02,银行业,公司银行业务、零售银行业务、资金业务,苏州市国资委,"2021:108,2022:118,2023:124,2024:132,2025:140","2021:31,2022:39,2023:46,2024:52,2025:58",规模较小,深耕苏州市场,区域竞争
青岛银行,2019-01-16,银行业,公司银行业务、零售银行业务、资金业务,青岛市国资委,"2021:111,2022:116,2023:125,2024:135,2025:145","2021:29,2022:31,2023:35,2024:40,2025:45",息差下行,蓝色金融特色,资产波动
无锡银行,2016-09-23,银行业,公司银行业务、零售银行业务、资金业务,无锡市国资委,"2021:43,2022:45,2023:45,2024:48,2025:52","2021:16,2022:20,2023:22,2024:25,2025:28",资本金不足,深耕苏南农村,规模增长受限
常熟银行,2016-09-30,银行业,公司银行业务、零售银行业务、资金业务,无实际控制人,"2021:77,2022:88,2023:98,2024:110,2025:125","2021:22,2022:27,2023:33,2024:38,2025:45",小微贷款竞争,小微金融标杆,息差收窄风险
张家港行,2017-01-24,银行业,公司银行业务、零售银行业务、资金业务,无实际控制人,"2021:46,2022:48,2023:45,2024:47,2025:50","2021:13,2022:17,2023:18,2024:20,2025:22",资产收益率下降,服务中小企业,区域竞争
江阴银行,2016-09-02,银行业,公司银行业务、零售银行业务、资金业务,无实际控制人,"2021:34,2022:38,2023:39,2024:41,2025:43","2021:13,2022:16,2023:19,2024:21,2025:23",营收增长缓慢,深耕江阴经济,资产质量波动
